t_start,t_end,N,T,rate,lo,hi,t_mid,width_s
2022-11-09 11:50:54.109810944,2022-11-09 20:18:02.833483520,4675,5.873230669352118,795.9844016335397,784.4070784724887,807.7319728838476,2022-11-09 16:04:28.471647232,30428.723672
2022-11-09 20:18:02.833483520,2022-11-10 00:52:02.513051392,2279,5.88065225339526,387.54204496349774,379.469045665282,395.78561256241994,2022-11-09 22:35:02.673267456,16439.679567
2022-11-10 00:52:02.513051392,2022-11-10 10:19:36.135013632,3237,11.742809366833567,275.65805582628246,270.83978069481634,280.5616065410366,2022-11-10 05:35:49.324032512,34053.621962
2022-11-10 10:19:36.135013632,2022-11-10 15:42:56.999099904,2419,5.888926721624937,410.77094593775536,402.4653482823995,419.2468202262872,2022-11-10 13:01:16.567056768,19400.864086
2022-11-10 15:42:56.999099904,2022-11-10 19:57:22.415841536,3068,5.8615954503442715,523.4069846665733,514.0096731154615,532.975173352618,2022-11-10 17:50:09.707470720,15265.416741
2022-11-10 19:57:22.415841536,2022-11-10 23:42:51.965796352,1285,5.885355004413818,218.3385707465893,212.2816251081292,224.566536280846,2022-11-10 21:50:07.190818944,13529.549954
2022-11-10 23:42:51.965796352,2022-11-11 03:22:24.131413248,4375,5.862802698770626,746.2301265770715,735.0105133767034,757.6203325396876,2022-11-11 01:32:38.048604800,13172.165616
2022-11-11 03:22:24.131413248,2022-11-11 07:01:05.242124288,2182,5.874002134551849,371.46734883957845,363.55909049456125,379.54640762059455,2022-11-11 05:11:44.686768768,13121.110711
2022-11-11 07:01:05.242124288,2022-11-11 10:55:05.341134080,2774,5.887233755547561,471.18903634258623,462.2922588327596,480.2560256856808,2022-11-11 08:58:05.291629184,14040.099009
2022-11-11 10:55:05.341134080,2022-11-11 15:46:06.118811904,5841,5.888826458983472,991.8784397338604,978.9718984970002,1004.9546479629521,2022-11-11 13:20:35.729972992,17460.777677
2022-11-11 15:46:06.118811904,2022-11-11 19:58:49.425742592,3734,5.871107108227299,635.9958916040675,625.6454126770714,646.5168276429162,2022-11-11 17:52:27.772277248,15163.30693
2022-11-11 19:58:49.425742592,2022-11-12 00:04:44.293429248,4887,5.87449673600025,831.90104950631,820.066681598423,843.905601640616,2022-11-11 22:01:46.859585920,14754.867686
2022-11-12 00:04:44.293429248,2022-11-12 04:44:41.357335808,3285,5.885810425306726,558.121951375763,548.4379733881902,567.9760522006877,2022-11-12 02:24:42.825382528,16797.063906
2022-11-12 04:44:41.357335808,2022-11-12 09:28:53.695769600,2783,5.875665815415623,473.64844894657114,464.7197057326188,482.7477365018827,2022-11-12 07:06:47.526552704,17052.338433
2022-11-12 09:28:53.695769600,2022-11-12 14:48:50.340233984,6484,5.8765548805522325,1103.367556637314,1089.7407562538372,1117.1643219473199,2022-11-12 12:08:52.018001792,19196.644464
2022-11-12 14:48:50.340233984,2022-11-12 19:53:27.996399616,17078,5.880744289127641,2904.0541741585193,2881.954764676064,2926.323024218809,2022-11-12 17:21:09.168316800,18277.656165
2022-11-12 19:53:27.996399616,2022-11-13 00:47:52.993699328,3543,5.864084882242198,604.1863429925821,594.0919950000209,614.4513891653551,2022-11-12 22:20:40.495049472,17664.997299
2022-11-13 00:47:52.993699328,2022-11-13 05:47:24.320431872,1955,5.886237830332101,332.13065057034896,324.6606397537742,339.77120901120435,2022-11-13 03:17:38.657065600,17971.326732
2022-11-13 05:47:24.320431872,2022-11-13 09:58:25.517551616,1399,5.881069430918679,237.88190505709827,231.55734870000384,244.37750765025714,2022-11-13 07:52:54.918991744,15061.197119
2022-11-13 09:58:25.517551616,2022-11-13 14:29:52.032403200,1868,5.877681820201133,317.8123718061481,310.4998508051039,325.29573279680454,2022-11-13 12:14:08.774977408,16286.514851
2022-11-13 14:29:52.032403200,2022-11-13 18:48:32.723672320,2779,5.875887120872519,472.9498614989293,464.02787358925434,482.04238848194314,2022-11-13 16:39:12.378037760,15520.691269
2022-11-13 18:48:32.723672320,2022-11-13 23:25:56.622862336,3750,5.872007241023538,638.6231906870647,628.2521492320855,649.1646601619882,2022-11-13 21:07:14.673267328,16643.89919
2022-11-13 23:25:56.622862336,2022-11-14 04:11:00.016201728,1527,5.88491470709104,259.476997714179,252.87372289432088,266.25111011878727,2022-11-14 01:48:28.319532032,17103.393339
2022-11-14 04:11:00.016201728,2022-11-14 08:43:17.585958400,3690,5.869312281110498,628.6937588711563,618.4012989914138,639.1567362371666,2022-11-14 06:27:08.801080064,16337.569756
2022-11-14 08:43:17.585958400,2022-11-14 12:52:36.673267456,2917,5.881000802436359,496.00401326106874,486.8711220937141,505.3072567755468,2022-11-14 10:47:57.129612928,14959.087309
2022-11-14 12:52:36.673267456,2022-11-14 18:16:48.592259072,2614,5.881444187792502,444.4486620183536,435.8037831577277,453.26396871310624,2022-11-14 15:34:42.632763264,19451.918991
2022-11-14 18:16:48.592259072,2022-11-14 23:27:23.632763392,8964,5.8726139606491365,1526.4071604340827,1510.3741613755797,1542.6100811671804,2022-11-14 20:52:06.112511232,18635.040504
2022-11-14 23:27:23.632763392,2022-11-15 04:09:02.806480640,1123,5.87967448392231,190.9969681265162,185.32927479845213,196.8360112623362,2022-11-15 01:48:13.219622016,16899.173717
2022-11-15 04:09:02.806480640,2022-11-15 11:39:51.867738001,3111,5.879948981385928,529.0862233411292,519.6528208976654,538.6899589492758,2022-11-15 07:54:27.337109320,27049.061257
